City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,port saint john's,-31.6229,29.5448,18.89,92,86,3.7,ZA,1699133243
109,colonia,50.9333,6.95,11.14,85,0,6.17,DE,1699132945
110,peniche,39.3558,-9.3811,16.98,61,56,11.91,PT,1699133171
111,sinabang,2.4803,96.3801,25.64,87,100,0.77,ID,1699133243
112,mananara,-16.1667,49.7667,22.79,95,70,1.86,MG,1699133243
113,sechura,-5.5569,-80.8222,25.36,53,19,8.76,PE,1699133244
114,vernon,50.2581,-119.2691,9.78,84,100,3.09,CA,1699133244
115,box elder,41.5005,-112.8764,13.4,53,90,1.96,US,1699133244
116,nova sintra,14.8667,-24.7167,23.43,76,4,6.07,CV,1699133244
117,aykhal,66.0,111.5,-17.65,84,100,4.73,RU,1699133245
118,iqaluit,63.7506,-68.5145,-3.15,63,100,6.71,CA,1699133245
119,saint-pierre,-21.3393,55.4781,23.65,92,99,5.12,RE,1699133245
120,kirensk,57.7853,108.1119,-11.69,52,93,2.68,RU,1699133245
121,moanda,-1.5575,13.2178,22.06,93,66,0.82,GA,1699133245
122,dera ismail khan,31.8327,70.9024,22.91,32,4,0.42,PK,1699133162
123,itacarambi,-15.1022,-44.0919,28.2,67,100,0.63,BR,1699133246
124,mundemba,4.9479,8.8724,24.1,95,99,1.32,CM,1699133246
125,den burg,53.0542,4.7972,9.99,94,100,6.69,NL,1699133246
126,shimoda,34.6667,138.95,17.84,82,100,3.6,JP,1699133246
127,nieuw amsterdam,5.8833,-55.0833,34.09,69,20,3.09,SR,1699133247
128,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,1699133247
129,nizhniy odes,63.6445,54.856,-12.99,100,92,1.89,RU,1699133247
130,kodiak,57.79,-152.4072,5.73,81,100,7.2,US,1699133247
131,tabasco,18.0,-92.6667,24.48,99,100,0.0,MX,1699132706
132,kodinsk,58.6881,99.1844,-8.09,71,100,4.97,RU,1699133248
133,brisas de zicatela,15.8369,-97.0419,30.29,51,20,4.12,MX,1699133248
134,whitby,54.4877,-0.615,9.52,89,100,2.24,GB,1699133248
135,sidi khaled,34.387,4.9879,19.76,40,1,0.55,DZ,1699133248
136,al hudaydah,14.7978,42.9545,28.92,71,93,5.64,YE,1699133248
137,kawambwa,-9.7915,29.0791,18.68,88,91,0.98,ZM,1699133248
138,lamar,33.6668,-95.5836,25.36,58,75,6.17,US,1699133249
139,yellowknife,62.456,-114.3525,-4.77,98,100,6.17,CA,1699133221
140,xiongzhou,25.1167,114.3,21.04,90,37,1.09,CN,1699133249
141,martapura,-3.4167,114.85,25.05,100,39,1.03,ID,1699133249
142,san antonio de pale,-1.4014,5.6325,26.17,83,92,4.42,GQ,1699133249
143,ad dabbah,18.05,30.95,28.62,24,9,5.25,SD,1699133249
